geneSymbol,diseaseName
NFIB,positive
PLLP,positive
TARP,positive
LRFN5,positive
OR13G1,positive
RAI1,positive
PEX19,negative
RXRA,negative
G6PD,negative
NR1H4,negative
HPRT1,negative
ERCC6,negative
PCSK7,negative
HMBS,negative
SUPV3L1,negative
ATP2B4,negative
ALDOB,negative
ASNS,negative
ETV4,negative
ATP8B1,negative
SGTA,negative
HYOU1,negative
ALAS1,negative
SSBP1,negative
USB1,negative
GPM6B,negative
IDI1,negative
SURF4,negative
DXO,negative
SLC30A9,negative
SLC10A3,negative
RNPEPL1,negative
